mysql> select i.f,i.c,e.f,e.c from incomefamily i,expensefamily e where i.f=e.f;
+------+------+------+------+
| f    | c    | f    | c    |
| 2836 |    6 | 2836 |  138 |
| 2837 |    6 | 2837 |  287 |
| 2838 |    6 | 2838 |  316 |
| 2839 |    6 | 2839 |  239 |
| 2844 |    3 | 2844 |  264 |
| 2845 |    6 | 2845 |  258 |
| 2846 |    3 | 2846 |  312 |
| 2847 |    6 | 2847 |  310 |
| 2848 |    6 | 2848 |  273 |
| 2849 |    3 | 2849 |  275 |
| 2850 |    3 | 2850 |  319 |
| 2851 |    6 | 2851 |  398 |
| 2852 |    3 | 2852 |  265 |
| 2853 |    9 | 2853 |  209 |
| 2854 |    6 | 2854 |  289 |
| 2855 |    6 | 2855 |  188 |
| 2856 |   12 | 2856 |  200 |
| 2857 |    3 | 2857 |  216 |
| 2858 |    3 | 2858 |  364 |
| 2859 |    9 | 2859 |  265 |
|  286 |   12 | 286  |  452 |
| 2860 |    6 | 2860 |  272 |
| 2862 |    3 | 2862 |  264 |
| 2863 |    6 | 2863 |  254 |
| 2864 |    9 | 2864 |  275 |
| 2865 |   12 | 2865 |  256 |
| 2866 |    9 | 2866 |  319 |
| 2868 |    6 | 2868 |  382 |
| 2869 |    6 | 2869 |  242 |
| 2870 |    6 | 2870 |  277 |
| 2873 |    6 | 2873 |  289 |
| 2875 |    3 | 2875 |  333 |
| 2877 |   12 | 2877 |  374 |
| 2878 |    3 | 2878 |  263 |
|  288 |    9 | 288  |  598 |
| 2881 |    3 | 2881 |  334 |
| 2882 |    3 | 2882 |  200 |
| 2884 |    6 | 2884 |  281 |
| 2885 |    3 | 2885 |  124 |
| 2886 |    3 | 2886 |  127 |
| 2887 |    3 | 2887 |  126 |
| 2888 |    3 | 2888 |  133 |
| 2889 |    3 | 2889 |  198 |
|  289 |    3 | 289  |  490 |
| 2891 |    6 | 2891 |  132 |
| 2893 |    3 | 2893 |  133 |
| 2896 |    9 | 2896 |  183 |
| 2897 |    9 | 2897 |  292 |
| 2898 |   12 | 2898 |  191 |
| 2899 |    3 | 2899 |  229 |
|   29 |   15 | 29   |  453 |
|  290 |    6 | 290  |  580 |
| 2900 |    3 | 2900 |  245 |
| 2901 |    6 | 2901 |  234 |
| 2902 |    6 | 2902 |  227 |
| 2903 |    3 | 2903 |  228 |
| 2904 |    3 | 2904 |  238 |
| 2905 |    3 | 2905 |  241 |
| 2906 |    6 | 2906 |  235 |
| 2908 |    6 | 2908 |  278 |
| 2909 |    3 | 2909 |  209 |
|  291 |    9 | 291  |  655 |
| 2910 |    6 | 2910 |  221 |
| 2911 |    6 | 2911 |  254 |
| 2912 |    6 | 2912 |  270 |
| 2914 |    6 | 2914 |  229 |
| 2916 |    9 | 2916 |  314 |
| 2917 |    9 | 2917 |  210 |
| 2919 |    6 | 2919 |  219 |
|  292 |    3 | 292  |  615 |
| 2920 |    3 | 2920 |  279 |
| 2921 |    9 | 2921 |  187 |
| 2923 |    9 | 2923 |  153 |
| 2924 |    6 | 2924 |  281 |
| 2925 |    9 | 2925 |  146 |
| 2926 |   15 | 2926 |  271 |
| 2927 |    3 | 2927 |  137 |
|  293 |    9 | 293  |  493 |
| 2930 |    3 | 2930 |  146 |
| 2931 |    3 | 2931 |  169 |
| 2932 |    6 | 2932 |  198 |
| 2934 |    3 | 2934 |  202 |
| 2935 |    6 | 2935 |  240 |
| 2936 |    9 | 2936 |  227 |
| 2937 |    3 | 2937 |  244 |
| 2938 |    6 | 2938 |  273 |
| 2939 |    6 | 2939 |  185 |
| 2940 |    6 | 2940 |  314 |
| 2941 |    6 | 2941 |  256 |
| 2944 |    3 | 2944 |  243 |
| 2945 |    3 | 2945 |  243 |
| 2946 |    3 | 2946 |  238 |
| 2947 |    6 | 2947 |  238 |
| 2948 |    3 | 2948 |  239 |
| 2949 |    3 | 2949 |  233 |
|  295 |    6 | 295  |  616 |
| 2950 |    3 | 2950 |  235 |
| 2951 |    6 | 2951 |  138 |
| 2952 |    6 | 2952 |  132 |
| 2953 |    6 | 2953 |  131 |
| 2956 |   12 | 2956 |  329 |
| 2957 |    6 | 2957 |  139 |
| 2958 |    3 | 2958 |  133 |
| 2959 |    9 | 2959 |  250 |
| 2960 |    6 | 2960 |  252 |
| 2961 |    6 | 2961 |  399 |
| 2962 |    9 | 2962 |  239 |
| 2963 |    6 | 2963 |  239 |
| 2964 |    3 | 2964 |  237 |
| 2965 |    3 | 2965 |  243 |
| 2966 |    6 | 2966 |  238 |
| 2967 |    6 | 2967 |  241 |
| 2968 |    6 | 2968 |  234 |
| 2969 |    9 | 2969 |  246 |
|  297 |    6 | 297  |  633 |
| 2971 |    6 | 2971 |  252 |
| 2972 |    6 | 2972 |  250 |
| 2973 |    6 | 2973 |  248 |
| 2974 |    3 | 2974 |  248 |
| 2977 |    6 | 2977 |  289 |
| 2978 |   12 | 2978 |  347 |
| 2979 |    6 | 2979 |  469 |
| 2980 |    6 | 2980 |  334 |
| 2981 |    6 | 2981 |  328 |
| 2982 |    6 | 2982 |  362 |
| 2984 |    9 | 2984 |  390 |
| 2985 |    6 | 2985 |  129 |
| 2986 |    3 | 2986 |  127 |
| 2987 |    6 | 2987 |  129 |
| 2988 |    9 | 2988 |  143 |
| 2989 |    9 | 2989 |  246 |
| 2990 |    6 | 2990 |  251 |
| 2993 |    9 | 2993 |  318 |
| 2994 |    9 | 2994 |  381 |
| 2995 |    6 | 2995 |  278 |
| 2997 |    9 | 2997 |  245 |
| 2998 |    6 | 2998 |  252 |
| 2999 |   12 | 2999 |  251 |
|   30 |    9 | 30   |  379 |
|  300 |    9 | 300  |  615 |
| 3004 |    9 | 3004 |  248 |
| 3005 |    6 | 3005 |  206 |
| 3006 |    9 | 3006 |  331 |
| 3008 |    9 | 3008 |  280 |
| 3009 |    6 | 3009 |  197 |
|  301 |    9 | 301  |  543 |
| 3010 |    6 | 3010 |  265 |
| 3011 |    6 | 3011 |  258 |
| 3012 |    6 | 3012 |  345 |
| 3013 |    6 | 3013 |  379 |
| 3016 |    9 | 3016 |  268 |
| 3017 |    9 | 3017 |  208 |
|  302 |   12 | 302  |  635 |
| 3020 |    6 | 3020 |  165 |
| 3021 |    6 | 3021 |  174 |
| 3022 |    3 | 3022 |  123 |
| 3023 |    6 | 3023 |  130 |
| 3024 |    6 | 3024 |  177 |
| 3025 |    6 | 3025 |  250 |
| 3027 |    6 | 3027 |  165 |
| 3029 |    6 | 3029 |  297 |
|  303 |   12 | 303  |  589 |
| 3030 |    6 | 3030 |  272 |
| 3031 |    6 | 3031 |  256 |
| 3034 |    6 | 3034 |  233 |
| 3035 |    6 | 3035 |  288 |
| 3039 |    3 | 3039 |  258 |
|  304 |    9 | 304  |  613 |
| 3040 |    6 | 3040 |  235 |
| 3041 |    6 | 3041 |  246 |
| 3042 |    6 | 3042 |  260 |
| 3043 |    6 | 3043 |  234 |
| 3045 |    3 | 3045 |  217 |
| 3046 |    6 | 3046 |  262 |
| 3047 |    6 | 3047 |  240 |
| 3048 |    6 | 3048 |  210 |
| 3049 |    6 | 3049 |  332 |
| 3050 |    6 | 3050 |  193 |
| 3051 |    3 | 3051 |  232 |
| 3052 |    3 | 3052 |  238 |
| 3053 |    6 | 3053 |  217 |
| 3054 |    6 | 3054 |  413 |
| 3055 |    3 | 3055 |  360 |
| 3056 |    6 | 3056 |  272 |
| 3057 |    6 | 3057 |  380 |
| 3058 |    6 | 3058 |  272 |
|  306 |   12 | 306  |  549 |
| 3060 |    6 | 3060 |  191 |
| 3062 |   12 | 3062 |  175 |
| 3063 |    6 | 3063 |  233 |
| 3065 |    3 | 3065 |  227 |
| 3066 |    9 | 3066 |  178 |
| 3067 |    6 | 3067 |  124 |
| 3068 |    6 | 3068 |  181 |
| 3069 |    9 | 3069 |  177 |
| 3070 |    6 | 3070 |  381 |
| 3071 |    6 | 3071 |  274 |
| 3073 |    3 | 3073 |  234 |
| 3075 |    3 | 3075 |  335 |
| 3077 |    3 | 3077 |  207 |
| 3078 |    9 | 3078 |  296 |
| 3079 |    3 | 3079 |  275 |
|  308 |    9 | 308  |  430 |
| 3082 |    6 | 3082 |  286 |
| 3083 |    6 | 3083 |  273 |
| 3084 |    6 | 3084 |  234 |
| 3087 |    3 | 3087 |  246 |
| 3088 |    6 | 3088 |  260 |
| 3089 |    6 | 3089 |  258 |
|  309 |    9 | 309  |  559 |
| 3091 |    3 | 3091 |  241 |
| 3092 |    6 | 3092 |  242 |
| 3094 |    6 | 3094 |  305 |
| 3095 |    6 | 3095 |  282 |
| 3096 |    6 | 3096 |  309 |
| 3097 |    6 | 3097 |  125 |
| 3098 |    3 | 3098 |  149 |
| 3099 |    6 | 3099 |  167 |
|  310 |    6 | 310  |  436 |
| 3100 |    6 | 3100 |  193 |
| 3101 |    3 | 3101 |  173 |
| 3102 |    6 | 3102 |  137 |
| 3103 |    6 | 3103 |  161 |
| 3104 |    6 | 3104 |  166 |
| 3105 |    6 | 3105 |  302 |
| 3106 |    3 | 3106 |  253 |
| 3107 |    3 | 3107 |  257 |
| 3108 |    3 | 3108 |  239 |
| 3109 |    9 | 3109 |  311 |
|  312 |    6 | 312  |  443 |
| 3120 |    6 | 3120 |  192 |
| 3121 |    3 | 3121 |  234 |
| 3128 |    3 | 3128 |  272 |
|  313 |   18 | 313  |  573 |
| 3134 |    6 | 3134 |  147 |
| 3135 |    6 | 3135 |  200 |
| 3138 |    6 | 3138 |  126 |
| 3139 |    3 | 3139 |  282 |
|  314 |   15 | 314  |  440 |
| 3141 |    9 | 3141 |  230 |
| 3144 |    6 | 3144 |  210 |
| 3145 |    6 | 3145 |  318 |
| 3147 |    9 | 3147 |  262 |
| 3149 |    9 | 3149 |  197 |
|  315 |   12 | 315  |  437 |
| 3150 |    6 | 3150 |  206 |
| 3151 |    6 | 3151 |  254 |
| 3155 |    3 | 3155 |  257 |
| 3156 |    3 | 3156 |  292 |
| 3157 |    9 | 3157 |  158 |
| 3158 |    3 | 3158 |  197 |
| 3159 |    3 | 3159 |  179 |
|  316 |    6 | 316  |  382 |
| 3164 |    6 | 3164 |  170 |
| 3166 |    6 | 3166 |  277 |
| 3167 |    9 | 3167 |  133 |
| 3168 |    3 | 3168 |  235 |
| 3169 |    9 | 3169 |  243 |
|  317 |   12 | 317  |  560 |
| 3170 |    3 | 3170 |  316 |
| 3172 |    3 | 3172 |  340 |
| 3174 |    6 | 3174 |  295 |
| 3175 |    9 | 3175 |  423 |
| 3176 |    9 | 3176 |  240 |
| 3177 |    6 | 3177 |  184 |
| 3178 |    9 | 3178 |  247 |
| 3179 |    6 | 3179 |  204 |
|  318 |   15 | 318  |  662 |
| 3180 |    3 | 3180 |  262 |
| 3181 |    3 | 3181 |  322 |
| 3182 |    6 | 3182 |  290 |
| 3183 |    3 | 3183 |  286 |
| 3184 |    3 | 3184 |  287 |
| 3185 |    3 | 3185 |  228 |
| 3186 |    6 | 3186 |  550 |
| 3188 |    3 | 3188 |  292 |
| 3189 |    3 | 3189 |  243 |
|  319 |    6 | 319  |  607 |
| 3190 |    3 | 3190 |  306 |
| 3191 |    3 | 3191 |  226 |
| 3194 |    3 | 3194 |  260 |
| 3195 |    9 | 3195 |  270 |
| 3196 |    6 | 3196 |  248 |
| 3197 |    3 | 3197 |  234 |
|   32 |    6 | 32   |  561 |
|  320 |   12 | 320  |  736 |
| 3200 |    6 | 3200 |  238 |
| 3202 |    9 | 3202 |  361 |
| 3204 |    3 | 3204 |  265 |
| 3205 |    3 | 3205 |  323 |
| 3206 |   15 | 3206 |  308 |
| 3207 |    6 | 3207 |  200 |
| 3208 |    3 | 3208 |  216 |
| 3211 |    6 | 3211 |  201 |
| 3212 |    9 | 3212 |  165 |
| 3213 |    3 | 3213 |  159 |
| 3214 |    3 | 3214 |  207 |
| 3215 |    3 | 3215 |  241 |
| 3218 |    3 | 3218 |  247 |
| 3221 |    3 | 3221 |  143 |
| 3222 |    3 | 3222 |  225 |
| 3223 |    9 | 3223 |  167 |
| 3224 |    6 | 3224 |  142 |
| 3227 |    3 | 3227 |  192 |
| 3229 |    6 | 3229 |  238 |
|  323 |    3 | 323  |  593 |
| 3230 |    9 | 3230 |  240 |
| 3232 |    3 | 3232 |  239 |
| 3236 |    6 | 3236 |  239 |
| 3237 |    9 | 3237 |  242 |
| 3238 |    6 | 3238 |  237 |
| 3239 |    3 | 3239 |  237 |
|  324 |    6 | 324  |  649 |
| 3240 |    3 | 3240 |  173 |
| 3241 |    3 | 3241 |  132 |
| 3244 |    6 | 3244 |  134 |
| 3245 |    6 | 3245 |  132 |
|  325 |    6 | 325  |  578 |
| 3250 |   12 | 3250 |  443 |
| 3255 |    6 | 3255 |  326 |
| 3257 |    6 | 3257 |  326 |
| 3258 |    6 | 3258 |  318 |
|  326 |    6 | 326  |  590 |
| 3261 |    6 | 3261 |  310 |
| 3262 |    6 | 3262 |  141 |
| 3263 |    3 | 3263 |  214 |
| 3264 |    6 | 3264 |  125 |
| 3265 |    3 | 3265 |  127 |
| 3266 |    3 | 3266 |  130 |
| 3267 |    9 | 3267 |  139 |
| 3268 |   12 | 3268 |  137 |
| 3269 |    6 | 3269 |  153 |
|  327 |    3 | 327  |  467 |
| 3270 |    9 | 3270 |  250 |
| 3271 |    6 | 3271 |  251 |
| 3273 |    6 | 3273 |  252 |
| 3274 |    9 | 3274 |  250 |
| 3275 |    6 | 3275 |  251 |
| 3276 |    6 | 3276 |  250 |
| 3277 |    6 | 3277 |  250 |
| 3278 |    6 | 3278 |  250 |
|  328 |    6 | 328  |  677 |
| 3285 |    3 | 3285 |  367 |
| 3286 |    9 | 3286 |  370 |
| 3287 |    9 | 3287 |  297 |
| 3288 |    6 | 3288 |  271 |
|  329 |   21 | 329  |  685 |
| 3290 |    6 | 3290 |  329 |
| 3291 |    9 | 3291 |  386 |
| 3292 |    9 | 3292 |  302 |
| 3293 |    3 | 3293 |  427 |
| 3295 |    6 | 3295 |  334 |
| 3296 |    9 | 3296 |  326 |
| 3297 |    3 | 3297 |  236 |
| 3298 |    6 | 3298 |  236 |
| 3299 |    3 | 3299 |  241 |
|   33 |    3 | 33   |  418 |
|  330 |   12 | 330  |  593 |
| 3301 |   12 | 3301 |  248 |
| 3302 |    6 | 3302 |  248 |
| 3303 |    6 | 3303 |  351 |
| 3304 |    9 | 3304 |  484 |
| 3305 |    6 | 3305 |  433 |
| 3306 |    6 | 3306 |  345 |
| 3308 |   15 | 3308 |  595 |
| 3309 |    6 | 3309 |  295 |
| 3311 |    3 | 3311 |  171 |
| 3312 |    3 | 3312 |  130 |
| 3313 |    3 | 3313 |  238 |
| 3314 |    6 | 3314 |  137 |
| 3315 |    6 | 3315 |  130 |
| 3316 |    3 | 3316 |  133 |
| 3319 |    6 | 3319 |  246 |
| 3320 |    6 | 3320 |  251 |
| 3321 |    6 | 3321 |  250 |
| 3324 |   12 | 3324 |  347 |
| 3325 |    6 | 3325 |  444 |
| 3327 |    9 | 3327 |  269 |
| 3328 |    9 | 3328 |  497 |
|  333 |    9 | 333  |  392 |
| 3330 |    9 | 3330 |  445 |
| 3331 |    9 | 3331 |  422 |
| 3332 |    9 | 3332 |  389 |
| 3334 |    6 | 3334 |  345 |
| 3335 |    6 | 3335 |  473 |
| 3336 |    6 | 3336 |  341 |
|  334 |    3 | 334  |  494 |
| 3342 |    6 | 3342 |  299 |
| 3343 |    9 | 3343 |  329 |
| 3345 |    6 | 3345 |  206 |
| 3347 |    9 | 3347 |  259 |
| 3348 |    6 | 3348 |  246 |
| 3349 |    9 | 3349 |  250 |
|  335 |    3 | 335  |  622 |
| 3350 |   12 | 3350 |  250 |
| 3351 |    6 | 3351 |  250 |
| 3352 |    9 | 3352 |  229 |
| 3353 |    9 | 3353 |  252 |
| 3354 |    9 | 3354 |  250 |
| 3355 |    9 | 3355 |  246 |
| 3356 |    3 | 3356 |  505 |
| 3359 |    3 | 3359 |  350 |
|  336 |   12 | 336  |  656 |
| 3360 |    6 | 3360 |  285 |
| 3361 |    3 | 3361 |  169 |
| 3363 |    3 | 3363 |  400 |
| 3366 |    6 | 3366 |  383 |
| 3367 |    6 | 3367 |  462 |
|  337 |   15 | 337  |  669 |
| 3370 |   12 | 3370 |  328 |
| 3372 |    6 | 3372 |  293 |
| 3375 |   12 | 3375 |  271 |
| 3377 |    6 | 3377 |  252 |
| 3378 |    6 | 3378 |  268 |
| 3379 |   12 | 3379 |  294 |
|  338 |    6 | 338  |  692 |
| 3380 |    6 | 3380 |  255 |
| 3383 |    9 | 3383 |  378 |
| 3384 |    9 | 3384 |  158 |
| 3385 |    6 | 3385 |  173 |
| 3388 |    6 | 3388 |  278 |
|  339 |    6 | 339  |  671 |
| 3390 |   15 | 3390 |  126 |
| 3392 |    6 | 3392 |  145 |
| 3393 |    3 | 3393 |  157 |
| 3394 |    3 | 3394 |  200 |
| 3395 |    6 | 3395 |  197 |
| 3396 |    6 | 3396 |  275 |
| 3397 |    9 | 3397 |  277 |
| 3398 |    3 | 3398 |  232 |
| 3399 |    3 | 3399 |  253 |
|   34 |    9 | 34   |  290 |
|  340 |    6 | 340  |  639 |
| 3400 |    6 | 3400 |  207 |
| 3402 |    6 | 3402 |  257 |
| 3403 |    6 | 3403 |  296 |
| 3404 |    9 | 3404 |  281 |
| 3406 |    6 | 3406 |  270 |
| 3407 |    3 | 3407 |  265 |
| 3408 |    6 | 3408 |  309 |
| 3409 |    6 | 3409 |  363 |
|  341 |    6 | 341  |  686 |
| 3410 |   12 | 3410 |  135 |
| 3411 |   12 | 3411 |  346 |
| 3419 |    6 | 3419 |  144 |
| 3420 |    3 | 3420 |  190 |
| 3421 |    3 | 3421 |  233 |
| 3423 |    3 | 3423 |  191 |
| 3424 |    3 | 3424 |  164 |
| 3428 |    3 | 3428 |  391 |
| 3429 |    6 | 3429 |  270 |
| 3430 |    3 | 3430 |  278 |
| 3431 |    3 | 3431 |  205 |
| 3433 |    6 | 3433 |  337 |
| 3436 |    3 | 3436 |  241 |
| 3439 |    6 | 3439 |  202 |
| 3440 |    6 | 3440 |  279 |
| 3442 |    6 | 3442 |  228 |
| 3443 |    6 | 3443 |  313 |
| 3444 |    9 | 3444 |  238 |
| 3445 |    6 | 3445 |  261 |
| 3446 |    9 | 3446 |  191 |
| 3447 |   15 | 3447 |  227 |
| 3448 |    3 | 3448 |  270 |
| 3449 |    3 | 3449 |  330 |
| 3450 |    3 | 3450 |  292 |
| 3451 |    3 | 3451 |  388 |
| 3453 |    3 | 3453 |  207 |
| 3454 |    9 | 3454 |  295 |
| 3457 |    6 | 3457 |  275 |
| 3463 |    3 | 3463 |  271 |
| 3464 |    3 | 3464 |  316 |
| 3465 |    6 | 3465 |  333 |
| 3466 |    3 | 3466 |  199 |
| 3467 |    3 | 3467 |  162 |
| 3468 |    3 | 3468 |  173 |
|  347 |    3 | 347  |  564 |
| 3470 |    6 | 3470 |  149 |
| 3472 |   12 | 3472 |  219 |
| 3474 |    6 | 3474 |  298 |
| 3475 |    3 | 3475 |  410 |
| 3476 |    9 | 3476 |  265 |
| 3477 |    3 | 3477 |  260 |
| 3478 |    3 | 3478 |  269 |
|  348 |    3 | 348  |  352 |
| 3480 |    3 | 3480 |  350 |
| 3481 |    6 | 3481 |  260 |
| 3482 |    6 | 3482 |  193 |
| 3483 |    3 | 3483 |  183 |
| 3484 |    3 | 3484 |  224 |
| 3486 |    3 | 3486 |  301 |
| 3488 |   12 | 3488 |  723 |
|  349 |    6 | 349  |  594 |
| 3490 |   12 | 3490 |  481 |
| 3491 |    6 | 3491 |  594 |
| 3492 |   33 | 3492 |  462 |
| 3493 |    3 | 3493 |  337 |
| 3494 |   12 | 3494 |  471 |
| 3495 |    3 | 3495 |  215 |
| 3496 |    9 | 3496 |  253 |
| 3497 |    9 | 3497 |  215 |
| 3499 |    3 | 3499 |  246 |
|   35 |    9 | 35   |  253 |
| 3500 |    9 | 3500 |  262 |
| 3501 |    6 | 3501 |  231 |
| 3503 |   12 | 3503 |  623 |
| 3504 |   18 | 3504 |  387 |
| 3506 |   12 | 3506 | 1031 |
| 3507 |   15 | 3507 |  380 |
| 3508 |    6 | 3508 |  587 |
|  351 |    3 | 351  |  460 |
| 3510 |    6 | 3510 |  314 |
| 3511 |    9 | 3511 |  454 |
| 3512 |   15 | 3512 |  388 |
| 3513 |    3 | 3513 |  390 |
| 3515 |   21 | 3515 |  390 |
| 3516 |    9 | 3516 |  407 |
| 3517 |    6 | 3517 |  406 |
| 3518 |    6 | 3518 |  402 |
| 3519 |    6 | 3519 |  396 |
| 3520 |    9 | 3520 |  320 |
| 3522 |    6 | 3522 |  370 |
| 3523 |    6 | 3523 |  220 |
| 3524 |    9 | 3524 |  411 |
| 3525 |    6 | 3525 |  394 |
| 3527 |    3 | 3527 |  387 |
| 3528 |    6 | 3528 |  125 |
| 3530 |    3 | 3530 |  131 |
| 3531 |    3 | 3531 |  208 |
| 3532 |    3 | 3532 |  212 |
| 3533 |    6 | 3533 |  176 |
| 3534 |    6 | 3534 |  168 |
| 3535 |    3 | 3535 |  229 |
| 3536 |    3 | 3536 |  201 |
| 3537 |    3 | 3537 |  194 |
| 3538 |    3 | 3538 |  198 |
| 3539 |    6 | 3539 |  200 |
| 3540 |    6 | 3540 |  232 |
| 3542 |    3 | 3542 |  209 |
| 3543 |    3 | 3543 |  134 |
| 3544 |   21 | 3544 |  460 |
| 3550 |   24 | 3550 |  364 |
| 3551 |    3 | 3551 |  221 |
| 3552 |    6 | 3552 |  352 |
| 3553 |    6 | 3553 |  275 |
| 3554 |    9 | 3554 |  284 |
| 3555 |   21 | 3555 |  276 |
| 3556 |    3 | 3556 |  261 |
| 3557 |    3 | 3557 |  247 |
| 3558 |    6 | 3558 |  179 |
| 3559 |    6 | 3559 |  246 |
| 3560 |   12 | 3560 |  285 |
| 3562 |    3 | 3562 |  407 |
| 3563 |   18 | 3563 |  368 |
| 3564 |    3 | 3564 |  255 |
| 3565 |    3 | 3565 |  454 |
| 3566 |    6 | 3566 |  418 |
| 3567 |    9 | 3567 |  373 |
| 3568 |   15 | 3568 |  531 |
| 3570 |    6 | 3570 |  336 |
| 3571 |    3 | 3571 |  469 |
| 3574 |    6 | 3574 |  182 |
|  358 |    6 | 358  |  562 |
| 3583 |    6 | 3583 |  264 |
| 3584 |   18 | 3584 |  461 |
| 3585 |    9 | 3585 |  457 |
| 3586 |    6 | 3586 |  483 |
| 3589 |    6 | 3589 |  397 |
|  359 |    3 | 359  |  391 |
| 3590 |    6 | 3590 |  386 |
| 3591 |    6 | 3591 |  438 |
| 3592 |    3 | 3592 |  350 |
| 3595 |   18 | 3595 |  350 |
| 3596 |   12 | 3596 |  344 |
| 3597 |    6 | 3597 |  241 |
| 3598 |    9 | 3598 |  258 |
| 3599 |    6 | 3599 |  247 |
|  360 |    6 | 360  |  294 |
| 3600 |   15 | 3600 |  270 |
| 3601 |    6 | 3601 |  313 |
| 3602 |    6 | 3602 |  294 |
| 3603 |   30 | 3603 |  299 |
| 3604 |   15 | 3604 |  307 |
| 3606 |   42 | 3606 |  594 |
| 3607 |    6 | 3607 |  711 |
| 3608 |    6 | 3608 |  429 |
| 3609 |    6 | 3609 |  421 |
| 3613 |   12 | 3613 |  313 |
| 3615 |   12 | 3615 |  502 |
| 3616 |   15 | 3616 |  545 |
| 3617 |    3 | 3617 |  350 |
| 3618 |    3 | 3618 |  397 |
| 3619 |    6 | 3619 |  484 |
| 3620 |    6 | 3620 |  367 |
| 3621 |    9 | 3621 |  487 |
| 3622 |    9 | 3622 |  507 |
| 3623 |    6 | 3623 |  523 |
| 3624 |    3 | 3624 |  636 |
| 3625 |    6 | 3625 |  330 |
| 3626 |    6 | 3626 |  368 |
| 3627 |   15 | 3627 |  539 |
| 3629 |    3 | 3629 |  624 |
| 3630 |    3 | 3630 |  360 |
| 3631 |    3 | 3631 |  503 |
| 3633 |    6 | 3633 |  376 |
| 3634 |    6 | 3634 |  424 |
| 3635 |    6 | 3635 |  368 |
| 3636 |    6 | 3636 |  399 |
| 3637 |    9 | 3637 |  452 |
| 3638 |    9 | 3638 |  347 |
| 3639 |   24 | 3639 |  395 |
| 3640 |   12 | 3640 |  355 |
| 3641 |   21 | 3641 |  443 |
| 3642 |    6 | 3642 |  300 |
| 3643 |    9 | 3643 |  424 |
| 3645 |    6 | 3645 |  414 |
| 3646 |    6 | 3646 |  532 |
| 3648 |   12 | 3648 |  569 |
| 3649 |    6 | 3649 |  562 |
|  365 |    3 | 365  |  338 |
| 3650 |    9 | 3650 |  541 |
| 3652 |    6 | 3652 |  394 |
| 3653 |    9 | 3653 |  496 |
| 3654 |    3 | 3654 |  543 |
| 3655 |    6 | 3655 |  495 |
| 3656 |    9 | 3656 |  517 |
| 3657 |    6 | 3657 |  472 |
| 3658 |    9 | 3658 |  488 |
| 3659 |    6 | 3659 |  392 |
|  366 |    6 | 366  |  346 |
| 3660 |    6 | 3660 |  623 |
| 3661 |   18 | 3661 |  547 |
| 3662 |    3 | 3662 |  363 |
| 3663 |    6 | 3663 |  441 |
| 3664 |    3 | 3664 |  426 |
| 3665 |    9 | 3665 |  420 |
| 3666 |   12 | 3666 |  450 |
| 3667 |    9 | 3667 |  329 |
| 3668 |    6 | 3668 |  324 |
| 3669 |    3 | 3669 |  413 |
| 3670 |    3 | 3670 |  401 |
| 3671 |    9 | 3671 |  391 |
| 3672 |    6 | 3672 |  362 |
| 3673 |   15 | 3673 |  364 |
| 3675 |    9 | 3675 |  312 |
| 3677 |    9 | 3677 |  348 |
| 3678 |   15 | 3678 |  388 |
| 3679 |    9 | 3679 |  388 |
|  368 |    9 | 368  |  408 |
| 3681 |    9 | 3681 |  368 |
| 3682 |    9 | 3682 |  306 |
| 3683 |   18 | 3683 |  394 |
| 3684 |    9 | 3684 |  342 |
| 3685 |    6 | 3685 |  309 |
| 3687 |    3 | 3687 |  303 |
| 3688 |    9 | 3688 |  270 |
| 3689 |    6 | 3689 |  307 |
|  369 |    6 | 369  |  252 |
| 3690 |   15 | 3690 |  290 |
| 3691 |   15 | 3691 |  277 |
| 3692 |    6 | 3692 |  305 |
| 3693 |    6 | 3693 |  461 |
| 3694 |    6 | 3694 |  479 |
| 3697 |   12 | 3697 |  501 |
| 3698 |    6 | 3698 |  488 |
| 3699 |    6 | 3699 |  449 |
| 3700 |    9 | 3700 |  464 |
| 3702 |    6 | 3702 |  494 |
| 3703 |    9 | 3703 |  491 |
| 3704 |    9 | 3704 |  501 |
| 3705 |    6 | 3705 |  895 |
| 3707 |    3 | 3707 |  466 |
| 3708 |    9 | 3708 |  462 |
| 3709 |    9 | 3709 |  512 |
| 3710 |    6 | 3710 |  414 |
| 3711 |   15 | 3711 |  508 |
| 3716 |    3 | 3716 |  448 |
| 3717 |   15 | 3717 |  471 |
| 3718 |    6 | 3718 |  481 |
| 3719 |    3 | 3719 |  548 |
|  372 |    3 | 372  |  356 |
| 3721 |    6 | 3721 |  487 |
| 3722 |    6 | 3722 |  519 |
| 3723 |   24 | 3723 |  547 |
| 3724 |   15 | 3724 |  529 |
| 3725 |    3 | 3725 |  168 |
| 3726 |    6 | 3726 |  209 |
| 3727 |    3 | 3727 |  237 |
| 3729 |    6 | 3729 |  210 |
| 3730 |    9 | 3730 |  277 |
| 3733 |    9 | 3733 |  231 |
| 3735 |    3 | 3735 |  386 |
| 3736 |    6 | 3736 |  521 |
| 3737 |    3 | 3737 |  371 |
| 3738 |    6 | 3738 |  374 |
| 3739 |    3 | 3739 |  419 |
| 3741 |    6 | 3741 |  436 |
| 3742 |    6 | 3742 |  454 |
| 3743 |    6 | 3743 |  414 |
| 3744 |    3 | 3744 |  484 |
| 3745 |    6 | 3745 |  381 |
| 3746 |    3 | 3746 |  488 |
